词语,词频
个差,2
无缝,1
常规,1
垫步,3
共用,2
画工,1
无奇,1
平平,2
著名,1
败笔,1
踏地,1
龙车,1
太牢,1
挺足,1
踏板,1
戏说,2
旧情,1
小心,2
蜘蛛精,5
小白龙,1
技战术,1
冰原,1
白龙,3
私募,4
清空,2
章鱼,1
首诗,3
书里,2
亲身,2
海量,4
礼包,3
下半身,1
看运气,1
巨灵神,1
流量,4
很低,1
风丹,2
屁滚尿流,2
老孙嘴,2
怪太,2
射速,2
入库,3
老手,2
同感,1
焦点,2
之约度,2
预估,2
属国,2
马楼仔,3
狐狸,3
塑像,2
学长,2
祝福,3
公用,1
副本,2
神魂,1
扣帽子,2
网暴,1
团建,1
手机,4
连进,1
太精彩,2
新衣,1
搞了个,1
功能键,1
和宏才,1
花点,2
和云,2
人会,3
数会,3
音质,1
面积,1
保密,1
协议,1
对本作,4
是我太,4
空洞,2
吐气,1
嘴脸,1
民族魂,1
预言家,1
字面,2
死光光,2
普遍,2
战技,1
粪作,1
魂量,1
血牛,1
便秘,2
灯塔,2
锚点,2
钉入,2
奇差,2
事件,6
无格,1
重金,1
往里面,2
大盾,1
地三,1
罗金仙,1
神掌,1
佛光,1
范围广,1
主神,1
虚子,1
谢幕,1
机动,3
段时间,1
坑洞,1
游民,5
妖气,1
个闻,1
上帝,1
蓝原,2
千鸟,2
毛会,1
原以为,2
摩擦,3
江山,2
道阻,2
行则,2
领头,2
妖兰,2
成绩,3
樱道,2
阴沟,2
漫长,1
极体,1
昂贵,1
收招,2
残疾人,3
鬼神,1
组类,1
制导,1
路灯,3
翠竹,2
繁叶,2
身染,2
苦闷,2
凡尘,2
降妖,3
赏景,2
山间,2
能藏,2
两关,2
精虎,1
功率,3
差差,1
鸡毛,1
战士,3
学原,1
买量,1
产物,3
定价,3
太贵,2
终生,1
奶奶,3
低头,3
冲锋,5
幅度,2
低下头,1
例子,2
退寸,1
滑坡,1
傻子,1
转圈,2
有权,1
地位,1
主张,1
文娱,2
市场秩序,1
消费者,2
马勒,1
两条腿,1
清晰,3
渠道,1
加密,4
无力,4
机关,2
美轮美奂,3
内置,7
不标,1
主说,1
奶油,1
小动作,2
角角落落,1
配件,1
吸引力,2
重复性,1
话术,1
法能,1
切棍,1
无表情,1
魔霸,3
腹肌,1
根子,1
铁道,1
绝区,1
星琼,1
战术,1
影响力,1
强推,2
视界,1
粗暴,2
图片,3
大黑,1
用品,1
套组,1
优势,4
顿卡,1
星光,1
重灾区,1
干巴,1
难易,3
挺多,1
实用性,1
观赏性,2
灾难性,2
铁片,1
适应能力,1
不值,6
人格,1
红孩儿,3
家暴,1
品性,1
战力,1
音乐性,1
芭乐,1
玄师,1
串场,1
间奏,1
灯笼,2
灯台,1
身经百战,3
有险,3
电视屏,2
指北针,1
标记,4
难事,1
青麻,1
心脏病,1
人亲,1
绕圈,2
三回,1
地表,1
电圈,1
安装包,1
个门,1
预计,2
热心,1
拐角,2
地里,1
蘑菇,2
中毒,2
救护车,1
电话,1
机枪,1
保镖,1
挂号处,1
炫技,1
很远,1
破圈,2
全图,1
性别,3
认知障碍,3
云云,2
奥德赛,1
翁斯坦,2
感太,2
给你个,3
小作坊,2
全村人,5
蠢驴,3
波兰,3
个巴子,4
巨大成功,3
辛勤,3
花钱,7
抑郁,4
绕圈圈,1
大坝,1
上班族,1
城市,3
道理,2
文牒,1
关心,2
常态,2
树上,2
作记号,1
文化界,2
国礼,2
倒地,3
劈技,1
点子,4
平帐,1
地府,4
类目,1
脸蓄,1
简洁,1
走路,13
沈阳,2
血妈,2
秃头,2
肥胖,2
卡完卡石,2
大赞,2
太空,5
王爽,2
这条,2
太膈,1
远高于,3
房屋,1
法器,1
灯光,2
零分,1
树林,1
鲜明,1
系数,1
卡关太,1
个格,1
外形,2
好好看,2
破壁,1
马斯内,1
大开大合,1
能棍,1
反爽,1
预兆,1
体积,3
一爽,1
憋屈,1
玩狗,1
加贝,1
扳机,1
前段时间,3
温度,2
竞争力,3
外国佬,5
污染,2
内观,2
名姓,2
胞含,2
三阳交泰,2
外合,2
化猴,2
平庸,4
总评,3
持平,1
真草,1
股东,1
发给,1
政策,1
话题,1
女权主义,1
流媒体,1
新闻,4
邮件,1
发行商,1
连刷级,1
同质化,2
骨灰盒,1
屁大,1
韧狗,1
滑动,1
果园,1
广阔,1
整理,2
石锤,2
工艺,2
摇头丸,1
摄像师,1
沙文,1
长镜头,1
脑仁,1
客服,3
陆地,1
补篮,1
太紧,1
恐惧症,1
邪乎,1
快餐,1
插件,2
脑萎缩,1
蚊子,1
语音卡,1
太累,2
愉悦,2
乏味,2
保险,1
敌会,1
链条,1
大法师,1
七色,1
绕口令,1
整段,1
白话文,1
有亮,1
花哨,1
硬堆,1
朋友圈,1
粮油,1
落后,1
谷歌,2
身心,2
回廊,1
最让人,1
很重,1
影片,2
上都,1
远距离,1
延后,1
僵尸,3
突刺,1
全马,1
上史,1
建家,1
下层,2
情爱,1
空隙,1
结晶,2
游化,1
撸多,2
充门面,1
黑眼圈,1
急性子,2
帕鲁都,1
投机,2
禁令,2
版号,2
神剧,1
犄角,2
旮旯,2
谢特,2
红熊卡,1
马桶盖,1
家伙,1
魔眼,1
粪怪,1
血潭,2
先云,1
指路,1
后台,1
面壁,1
配位,2
主动攻击,1
全景,1
近景,1
环入,1
根本就是,1
卡新,2
换回来,1
过章,3
大仙,1
灵敏度,1
猕猴,2
六耳,2
关和,1
剪切板,1
家庭版,1
虚拟内存,2
台式机,1
专业版,1
大口,1
组队,2
博主,2
眼瞎,2
冷静,1
大路,1
比超特,1
照会,1
慢动作,1
守门,3
经文,3
残缺,2
冠军,2
镶金,1
压根,3
院校,2
计算机专业,2
来源,1
香点,1
身世,1
线索,2
悬念,1
可能性,1
神药,1
薄纱,1
小黑子,2
服务性,1
陨落,5
步骤,1
暗部,1
垃的,1
辣鸡,2
上卡顿,1
天键鼠,1
硬套,1
先蓄,1
能用,2
对策,1
狸侍,1
死板,1
魔教,1
老年人,1
赤潮,1
切人,1
毒品,3
姚明,1
全明星,1
双线,1
国际版,1
限制级,1
法西斯主义,1
普普通通,1
强碱,1
绿色,1
低轻,1
滚轮,2
格沃兹,1
典型,1
封闭式,1
阴天,1
街霸,1
冲击波,1
荣誉,2
根基,1
联机,1
猪哥,1
脑壳,2
边边角角,1
抱团,1
原子,1
鼠辈,1
全黑,1
调用,1
时猴哥,1
故差,5
畅玩贵,1
区块,1
老猪,1
鹰眼,1
小白鼠,1
子宫,2
强韧,1
招棍,1
梭子,1
发霉,1
女怪,1
土豆,1
上柱香,1
变龙,1
界扣,1
话语,2
疯狗,3
人型,1
麻麻,1
三通,1
马艳,1
飞智,2
龙尾,1
前脚,2
根器,1
传授,2
吹雪,2
华硕,3
处理器,2
主板,2
高辣,1
四层楼,1
布恩,1
弹能,1
挺好用,2
杠精,1
失灵,3
罐子,1
屋檐,1
打人,4
残疾,2
图纸,1
问界,1
全用,4
气愤,1
机体,1
远景,1
眼镜,1
房屋内,1
跳帧,1
好糊,1
遗物,4
宝物,1
连小,1
原作,1
流网,1
周星驰,1
楼主,1
朝夕,2
突显,1
屠山,1
落石,1
烟雾,2
带回去,1
山头,1
疯虎,1
狗屁,1
大段,1
护体,1
虎杖,1
忙碌,1
苦海,1
玩页,1
土区,2
亮点,2
节约,1
活尸,1
双刀,1
炮灰,1
挚爱,1
攻击能力,1
脸下,2
影逝,2
二度,2
涂抹,1
铁骨,1
牢房,1
身咒,1
密集,2
成群,1
棋手,1
母片,1
劈山,1
剧透,1
极长,1
代爆,1
照片,2
反华,2
公知,1
毛主席,3
公安,1
调适,1
糟心,1
肮脏,1
繁荣,1
神洲,1
迪厅,1
明亮,3
远观,1
舞台,1
肩头,1
王后,1
罪犯,1
滋水,1
骨灰,2
抗议,1
死心,1
顺畅,2
杀人,1
写作文,1
天龙,1
红利,3
空棍,1
古国,2
严苛,1
抠门,1
隐喻,1
满拉,1
分镜,2
被闹,1
墙会,2
的哥,2
真诚,1
金刚,1
很尬,1
纯靠,3
烧鸡,2
构筑,2
师父,3
神针,2
闷声,2
天光,2
苦哈哈,2
当牛马,2
治国,1
麦子,1
山路,1
理政,1
神王,1
遗失,1
河水,1
墨镜,1
顶层,1
迷宫,3
低点,1
感人,1
骨子里,2
空余,1
库存,1
朝向,1
闲暇,2
条母,2
魅惑,1
滴滴,1
电流,1
卵用,1
操作技能,1
总榜,2
不济,1
火车,1
竹子,1
水坑,1
大霉,1
成品,4
泰豪,2
完辣,2
圈才,1
教派,1
佛大,2
深感,2
东北虎,1
变异,1
人参,2
三胞胎,1
火大,1
一箩筐,1
挡格,2
彩蛋,2
原味,1
原滋,1
购买力,1
熟能生巧,1
贴墙,1
天时地利人和,2
同性,2
双性,2
泛性,2
变性,2
筋脉,1
爆体,1
全身,1
弱点,1
学习曲线,1
鬼子,2
黑洞,1
百兆,2
小游戏,2
细盐,2
军中,2
钓鱼,1
含量,1
用亲,1
舞台剧,1
开放式,2
云端,2
星辰,2
皓月,2
图卷,2
龙吟虎啸,2
神龙,2
天宇,2
皮肤,3
特林,1
无耻,1
不太值,1
玩元,1
優化,1
纯碎,1
花钱买,4
恰烂,1
灵感,2
寂寞,1
地后,1
摄像头,1
赛博牢,1
配好,1
下锅,1
私人,2
杨奇英,3
门上,3
砌墙,2
厕所,2
男人,3
脆皮,2
拮据,1
命长,1
刚亮,1
别忘记,2
分数段,1
个大,1
套件,1
所赐,1
墙卡,1
衣托,1
光波,1
物体,1
定魂珠,1
解析度,2
清晰度,1
产生器,1
资金,1
骗人,2
天灵盖,1
过差,1
手法,3
马都,1
不低,1
分外,1
脸部,2
赛博鬼,1
面瘫,1
余额,1
幻觉,1
迅猛,1
拓宽,1
降价,2
短时间,2
陪伴,1
宴席,1
考核,1
魔音,1
剑法,1
空闲,1
不同点,1
共同点,1
虎寺,1
潜心,1
柠檬,2
不久,3
见切,1
太刀,1
乱点,1
视距,1
树根,1
合扣,1
冲烂,1
段落,1
资料,1
塞进,1
细化,1
满山,1
大箱子,1
物件,1
乐色,2
精日,1
殖子,1
睁眼,1
个定,1
稀碎,3
天上飞,1
勇士,2
奥丁,2
公主,2
黑狗,1
行键,1
小拇指,1
慎重,1
喷人,1
理论,1
齐亮,1
镜面反射,1
部门,2
姐妹,2
振动,1
杨威,1
铁卵,1
射手,1
英文,4
湖像,1
射线,1
声明,1
原话,1
平安,3
外星人,2
型号,1
腿短,1
高频率,2
男主,1
顾忌,1
上海,1
金翅虫,1
拘泥于,2
坏消息,3
墙内,3
几率,1
加班加点,1
开映射,1
招架,1
马戏团,1
斜坡,1
色色,2
猫猫,2
张嘴,3
专辑,1
日志,1
霉霉,1
歌手,1
圣经,1
印字,1
欢庆,1
树杈,1
石母招,1
连吃,1
编辑器,1
毕业论文,1
博士论文,1
墙国,1
气晕,1
条差,1
抛物线,1
孤岛,1
危机,1
攻击者,1
前腰,1
赞比亚,1
黄圈,2
红圈,2
榴弹炮,1
重蹈,1
归类,1
优先,5
浮动,1
红光,2
卡飞,1
子卡飞,1
杆子,1
画音,2
件套,1
景区,1
凯侠,1
启示录,1
吕布,1
关张,1
用惯,1
别扭,2
请稍等,1
卡完,1
补帧,1
寒心,1
有所,4
太糙,1
图案,1
道士,1
法力,2
雷抗,1
血压,1
不差,1
坛子,2
由亮,1
错乱,1
主部,1
包间,2
雷同,1
哥哥,1
探全图,1
诗歌,1
热修,1
硬性,1
出场,1
玩意儿,7
动弹,1
任性,1
招卡,1
外国籍,1
动机,1
天安门广场,1
伟大领袖,1
西城区,1
西华,1
大街,1
北京市,1
规律,1
后摇太,1
女孩子,1
父母,1
星刃,1
蛇皮,1
智息,1
树点,1
龙鸣,1
批发网,1
一玩,1
大份,1
阳光,1
违和,1
臭长,1
兜圈子,1
三格,1
刻板,1
投资,3
不红温,1
累赘,1
罗致,1
微机,1
键长,1
反观,1
地震,1
不太能,1
半空,1
水波,1
联系,3
大鏢,1
鼠標,1
無腦,1
指導性,1
艾爾登,1
東西,1
側鍵,1
路障,1
智能,1
不规则,1
错路,1
雕刻,1
环和魂,1
后头,1
断网,1
运算,1
瘠薄,1
小蜜蜂,1
太长太,1
妖狼,1
耗时间,2
血印,2
战死,1
重影,1
树叶,1
黑线,1
实际操作,2
三者,1
油腻,1
枪神,1
考虑一下,2
对标,1
民众,1
人口,1
很蠢,1
巨人,1
尤母,1
目标群体,1
卡会,1
面貌,1
把式,1
过头,1
传统武术,1
台阶,1
往后面,1
下楼梯,1
最小,1
广告公司,1
双脚,1
阴死,1
玛德,1
玩阴,1
阳间,1
小糖,1
标志物,1
准确,1
网络,5
鹦鹉学舌,1
外皮,1
蠢人,1
贾玲,1
吴艳妮,1
橡皮泥,1
自爆,2
宇航员,1
数锁,1
最多,1
工作量,2
领略,1
一方面,3
语录,1
难题,1
前任,1
无趣,1
轿车,1
考古,1
肉体,1
水滴,1
空地,1
雷人,1
资助,1
放狗,1
一体,2
卡肉,1
斗破,1
尸块,1
真棒,1
潮流,1
经验丰富,1
公式,1
特立独行,1
海边,1
金星,1
旗号,1
刮风,1
笨重,4
制作方,2
科游,1
古惑仔,1
太重,1
纪录片,1
花式,1
途中,2
跑路,1
攻击性,1
测试阶段,1
龟速,1
上坡,1
肌无力,1
勾石,1
里纯,1
比龙信,1
金玉其外,1
瓶药,1
强控,1
贵物,1
唐氏,1
墙上,2
一脚,1
路标,1
套皮,1
美工设计,1
对准,1
飞身,1
拳法,1
长距离,1
父子,1
巨远,1
不远处,1
笑死人,1
真魂,1
普及,1
音道,1
拟人,1
配音演员,1
鸡儿,1
光点,1
大卡,1
战会,1
精子,1
沙猪,1
个弟,1
废料,1
招聘广告,1
玩别,2
犯病,1
全面,1
价值观,1
嘴硬,1
男拳,1
直言,1
顾问,1
文学,2
槽点,1
高低,2
图谋,1
试探,1
底线,1
功劳,1
古人,1
结构,1
神围,1
身前,1
大奖,1
复制粘贴,1
黑社会,1
黄鼠狼,1
比环,1
红眼病,2
街能,1
好烂,1
贱种,1
全点,1
冰刃,1
贫乏,1
坏话,1
辩经脑,1
精急,1
残粉,1
太上老君,1
青头,1
初圣,1
黄条,1
熊虎,1
卡黄风,1
排队,1
打水漂,1
物料,1
终极,1
高清,2
均分,1
同情,1
生理,1
数太,2
巨量,1
进展,1
玩头,1
连满,1
怪招,1
背书,1
气氛,1
编剧,1
规划,1
数数,1
身段,1
中光,3
三思,1
顺位,1
金蝉子,1
自机,2
先平,1
飞雷,1
轻棍,1
崽子,1
先评,1
错觉,2
菜哈,1
太尬,1
开发周期,3
感性,1
太糊,1
品红色,1
火刀,1
饺子,1
兴奋剂,1
卡普空,1
气力,2
长跑,1
性格,1
中高,1
玩棍,1
弹幕,1
觉得很有,1
红绿灯,1
上山,3
冯骥英,1
汽车,1
同事,1
爆典,1
纯烂,1
大大降低,1
朝鲜,1
青衣,1
半价,1
救命,1
走时,1
死路,1
泥鳅,1
谜一样,1
糟粕,1
当奴才,1
滑板,1
目的性,1
聪颖,1
玄功,1
法号,1
进影院,1
鬼镇,1
调料,1
火候,1
便利,1
那贵,1
人民币,1
汉奸,3
主理,2
塞满,1
拉胯真,1
心痛,1
分配,2
所需,1
小圈子,1
命堆,1
散兵,1
邪恶,1
工坊,1
暴躁,2
光算,1
突脸,1
威猛,1
全场,1
套路,3
吞键,1
黑风卡,1
智力,1
整饭,1
阴谋,1
情分,1
虎皮,1
盾战,1
暴力,1
黄金时间,1
十字,1
美国佬,1
韭菜,1
节点,1
景观设计,1
疏密,1
后果,1
理念,2
真信,1
重头,1
攻击速度,1
调动,1
民俗文化,1
关一关,1
集大成,1
素养,1
评的,2
投差,2
摆场,1
猴控把,1
勾史,1
楞是,1
高贵,1
上西天,1
途径,1
消费国,1
虫子,1
诗体,1
骷髅,1
应付,1
雪盲,1
三板斧,3
造势,1
大点,2
周旋,2
肉肉,1
肉跳,1
父二子,1
粪便,1
花瓶,1
屎盆子,1
金边,1
水枪,1
个圈,1
文物,1
政教处,1
热播,1
桌上,1
真人秀,1
顾问团,1
忠实,3
日系,1
大牌,1
情结,1
网易,1
难玩,1
官差,1
龙飞,1
之桥,1
手速,1
余地,1
活活,1
节奏感,1
纸片,1
木板,1
木牌,1
丽影,1
执念,3
畜生,1
公公,1
黑化,1
信仰者,1
七星,1
佛教,3
街机,1
煽动者,1
民族情绪,1
关键时刻,1
交代,1
失望透顶,1
连肝,1
忠告,1
那奎木,1
神技,1
孙子,1
销子,1
汤圆,1
很唐,1
掌机,1
器具,1
期待值,1
头子,1
文体,2
地龙,1
昏暗,1
韩国,1
肩膀,1
未免太,1
假草,1
假花,1
太神,2
望明月,2
白金,1
主义,2
脉络,1
通俗,1
部派,1
网文,2
顶天,1
風小,1
老妖,1
老頭,1
云冈石窟,1
石窟,1
性无能,1
运动,1
过人,1
骗钱,3
钱得,1
阴险,1
水木,1
狡诈,1
小人,1
坚实,3
硕总说,2
比斗,2
镀金,1
奖项,2
好运,2
糊糊,2
剑灵,2
连狼,1
师兄,2
人缘,1
孝子贤孙,1
公狗,1
队长,2
蓝绿,1
李洪志,6
之春,1
和平演变,1
法轮功,1
反革命,2
土伯特,1
唐古特,1
纪元,1
王丹,2
北京,2
激流,2
示威游行,1
法轮大法,1
大法,2
动态网,6
时报,1
哥儿,2
黄龙,1
指向性,1
旗子,1
常识,1
慎重考虑,1
轨迹,1
那帮,1
鸿运,1
当头,1
免费刷,1
孤儿,1
黄土高原,1
大冒险,1
和光,1
先马,1
残渣,1
都用,1
天安,5
法輪,5
大紀,1
走私,1
魏京生,1
趙紫陽,1
和平,1
中國,3
淨化,1
味是,1
智商,1
耗时,1
纸钱,1
杨戬刚,2
有本作,2
男女,2
不女,2
道教,1
输入法,1
补票,1
长长,3
含泪,1
记性,1
挡箭牌,1
太笨,1
神話,1
勾勾,1
最值,2
成吉吉,2
巧克,2
巴卜,2
尾巴,1
身子,1
短剧,1
图册,1
传记,1
充裕,2
急事,2
宗门,2
桌子,2
反应力,2
收镜,2
作业,2
捷径,2
食用,2
棒棒,4
壮志凌云,2
白费,2
意想,2
博说,1
发微,1
发条,2
徒儿,2
师傅,2
民族英雄,2
大气,2
电脑主机,1
石像,2
脑损伤,2
赖子,2
秀美,2
潮湿,2
好康,2
佛道,2
正义,2
沉默,2
猢狲,2
永存,2
道术,2
方术,2
八卦,2
仙术,2
房间内,2
同班,2
小沟,2
栅栏,2
小墙,2
低矮,2
砖块,2
绝缘体,1
魂友,1
宏观,2
冒险游戏,2
人偶,2
吉佩托,2
词条,2
玩度,2
小点,2
小里龙,1
榜样,2
青衫,2
泪滴,2
和谐,2
饿瘦,2
猴戏,2
奇高,2
人手,2
口号,2
吹响,2
画画,2
动画版,2
矛盾,1
战令,2
开府,2
仪同,2
三司,2
密好密,2
疲乏,2
旱灾,2
物种,2
山火,2
奉公,2
蟠桃会,2
私行,2
妖猴,2
狂妄,2
草鸡,2
太酷,2
金牌,2
表态,2
游泳,2
秦腔,2
感太差,2
粉太,2
队员,2
特战,2
周本,2
代肝,2
代清,2
小静吖,2
哀婉,2
建筑风格,2
新起点,2
画功,2
风景画,2
沙场,2
笑傲,2
迷幻,2
血战,2
火化,2
残灯,2
虚实,2
群雄,2
烂尾,2
一景,2
影视作品,2
高风险,1
高削,1
怪弹,1
特殊效果,1
高回报,1
人用,1
玩牛,2
东洋,2
元气大伤,2
轻易,3
剑侠情缘,2
双骄,2
秦殇,2
三国群英,2
撒花,2
目坏,2
比广智,2
门下,2
船员,2
天象,2
养魂,2
良药,2
偏魂,2
犀利,2
圆滑,2
黑师,2
黄盒鉴,2
風景,2
玄奘,2
法師,2
時代,2
玩卡,1
美容,2
福利,2
幼稚,1
指头,2
女巫,2
米诺斯,2
女生,2
环后,2
大饱眼福,2
鸡腿,2
严厉,2
挺好吃,2
堆粪,1
清逸,2
华笙,2
喜人,2
都还没,1
差价,1
沸羊,2
羊羊,2
歇一会,2
顶顶,2
穷苦,2
咸鱼,3
群魔,2
不惧,2
舍命,2
蛋黄,2
太拉,2
口音,2
作群,3
麂鹿,3
成阵,3
虎狼,3
獐钻,3
水儿,2
沼跃鱼,2
沉石,2
循命,2
变数,2
野牛,2
机箱,2
国粹,2
利器,2
感贼,2
仔细阅读,2
情于理,2
别总,2
王德法,2
马楼王,2
抵抗,2
烧高香,1
楼下,1
僵值,1
悲壮,2
迥异,2
